t	P	cov	vg_gcta	vg_GRMvarX	vg_GRMld	vg_gcta_wganc	vg_GRMvarX_ganc	vg_GRMld_ganc	var.prs.geno	exp.theta	exp.var.theta	va.term4	va.term1	va.term2	va.term3	exp.vg	exp.vgamma
0	0	neg	0.9351316	0.9437423	0.9239045	0.9352649	0.94389	0.9245376	0.926945517501178	0.0340636710751544	0.0329033373880381	-0.0158487213720509	0.929264401226867	0.00792705465573731	0.00792705465573731	0.929269789166291	5.38793942374619e-06
0	0	pos	0.9398151	0.9487426	1.0736547	0.9394283	0.9483302	0.9475377	1.07192256316611	0.0340636710751544	0.0329033373880381	0.133142434492084	0.929264401226867	0.00792705465573731	0.00792705465573731	1.07826094503043	0.148996543803559
0	0.9	neg	0.9351316	0.9437423	0.9239045	0.9352649	0.94389	0.9245376	0.926945517501178	0.0340636710751544	0.0329033373880382	-0.0158487213720509	0.929264401226867	0.00792705465573731	0.00792705465573734	0.929269789166291	5.38793942371496e-06
0	0.9	pos	0.9398151	0.9487426	1.0736547	0.9394283	0.9483302	0.9475377	1.07192256316611	0.0340636710751544	0.0329033373880382	0.133142434492085	0.929264401226867	0.00792705465573731	0.00792705465573734	1.07826094503043	0.14899654380356
1	0	neg	0.9495048	0.9614857	0.9349943	0.9495665	0.9615508	0.9355175	0.931118845417086	0.0669670084631925	0.0465911637776946	-0.0224418077839337	0.929935673782876	0.0150532335928679	0.0112247185561931	0.933771818148003	0.00383614436512723
1	0	pos	0.9512404	0.9635189	1.1426274	0.9510429	0.9633043	0.957328	1.13999098460813	0.0669670084631925	0.0465911637776946	0.188529841153343	0.929935673782876	0.0150532335928679	0.0112247185561931	1.14474346708528	0.214807793302404
1	0.9	neg	0.9404864	0.9563642	0.9242236	0.9405594	0.9564432	0.9247212	0.929191858060564	0.0669670084631925	0.0608933017943843	-0.0293307928670559	0.929935673782876	0.0150532335928679	0.0146703820892003	0.930328496597888	0.000392822815012295
1	0.9	pos	0.9495573	0.9658596	1.2079172	0.9496735	0.9659676	0.9466141	1.20314859592277	0.0669670084631925	0.0608933017943843	0.246403042632173	0.929935673782876	0.0150532335928679	0.0146703820892003	1.20606233209712	0.276126658314241
2	0	neg	0.954176	0.9672685	0.9395472	0.9543364	0.967431	0.9403733	0.938127107471997	0.0987495373891696	0.0511460677473603	-0.0246357920305872	0.930584080331335	0.0214413670909742	0.0123220836135231	0.939711739005245	0.00912765867391011
2	0	pos	0.9533227	0.966623	1.1644937	0.9529559	0.9662244	0.9537712	1.16582981539252	0.0987495373891696	0.0511460677473603	0.206961132673924	0.930584080331335	0.0214413670909742	0.0123220836135231	1.17130866370976	0.240724583378421
2	0.9	neg	0.9556454	0.9770539	0.9332127	0.9556794	0.9771061	0.9339142	0.931206206182037	0.0987495373891696	0.08452211866929	-0.0407122077850982	0.930584080331335	0.0214413670909742	0.0203630241640398	0.93167626380125	0.00109218346991583
2	0.9	pos	0.9466237	0.9686436	1.3123942	0.9469122	0.9689317	0.9362782	1.31774886009417	0.0987495373891696	0.08452211866929	0.342016389259932	0.930584080331335	0.0214413670909742	0.0203630241640398	1.31440486084628	0.383820780514946
3	0	neg	0.9599729	0.973519	0.9516596	0.9599866	0.9735292	0.9521312	0.951157125832099	0.129449436703876	0.051427737100965	-0.0247714651707213	0.931210399772406	0.0271497645551551	0.0123899432453453	0.945978642402185	0.0147682426297791
3	0	pos	0.9572814	0.9706687	1.1875274	0.9575968	0.9709918	0.9747975	1.18637440157182	0.129449436703876	0.051427737100965	0.208100899835487	0.931210399772406	0.0271497645551551	0.0123899432453453	1.17885100740839	0.247640607635988
3	0.9	neg	0.9541955	0.9800067	0.9226564	0.9542205	0.980049	0.9233987	0.927881773243474	0.129449436703876	0.104286650410898	-0.0502322924174759	0.931210399772406	0.0271497645551551	0.0251246847066491	0.933252556616734	0.00204215684432834
3	0.9	pos	0.965216	0.9926862	1.414387	0.9643763	0.991714	0.9415233	1.41044827864527	0.129449436703876	0.104286650410898	0.421993014173076	0.931210399772406	0.0271497645551551	0.0251246847066491	1.40547786320729	0.474267463434881
4	0	neg	0.9620169	0.9742422	0.949597	0.9620985	0.9743281	0.9502652	0.95078248069841	0.159103584746285	0.0497740265763743	-0.0239749138353606	0.931815384474047	0.0322325279382476	0.0119915321796652	0.9520645307566	0.0202491462825523
4	0	pos	0.9628701	0.9756544	1.1692743	0.9627414	0.9755067	0.9757737	1.17289262351277	0.159103584746285	0.0497740265763743	0.201409206449113	0.931815384474047	0.0322325279382476	0.0119915321796652	1.17744865104107	0.245633266567026
4	0.9	neg	0.9673472	0.9978838	0.9324002	0.9673767	0.9978998	0.9333467	0.930762777037044	0.159103584746285	0.120633617827348	-0.0581062210954677	0.931815384474047	0.0322325279382476	0.0290629874580553	0.935004678774883	0.0031892943008353
4	0.9	pos	0.968265	0.9999635	1.4852404	0.9684279	1.0001102	0.944189	1.4800718633445	0.159103584746285	0.120633617827348	0.488140560627747	0.931815384474047	0.0322325279382476	0.0290629874580553	1.4812514604981	0.54943607602405
5	0	neg	0.9697611	0.9818185	0.9535234	0.9697864	0.9818423	0.9541129	0.954262235419897	0.187747603643764	0.0473054432442459	-0.0227858584835222	0.932399761175807	0.0367398438105466	0.0113968023878132	0.957750548890645	0.0253507877148377
5	0	pos	0.9674092	0.9793196	1.1800862	0.9671346	0.9790276	0.9971489	1.18329234935241	0.187747603643764	0.0473054432442459	0.1914201530376	0.932399761175807	0.0367398438105466	0.0113968023878132	1.17195656041177	0.23955679923596
5	0.9	neg	0.9705817	1.0037925	0.9364758	0.9706293	1.0038656	0.937439	0.936954571092199	0.187747603643764	0.133964347242368	-0.0645273027533321	0.932399761175807	0.0367398438105466	0.0322746197440898	0.936886921977111	0.00448716080130428
5	0.9	pos	0.9746042	1.0091106	1.5430977	0.973692	1.0080514	0.9410096	1.53936659270408	0.187747603643764	0.133964347242368	0.542082984368516	0.932399761175807	0.0367398438105466	0.0322746197440898	1.54349720909896	0.611097447923152
6	0	neg	0.9660919	0.9766338	0.9494381	0.9662215	0.9767723	0.9501146	0.955716022990648	0.215415902103249	0.0445551300799277	-0.0214611008605155	0.932964231861813	0.0407182555193188	0.0107341983936703	0.962955584914287	0.0299913530524737
6	0	pos	0.9790133	0.9903091	1.1654416	0.978913	0.9902016	1.001024	1.16231957440907	0.215415902103249	0.0445551300799277	0.180291087739619	0.932964231861813	0.0407182555193188	0.0107341983936703	1.16470777351442	0.231743541652608
6	0.9	neg	0.9752638	1.0108027	0.9375258	0.9753583	1.0109275	0.9383024	0.93945600153129	0.215415902103249	0.144639085280174	-0.0696690592531552	0.932964231861813	0.0407182555193188	0.0348463719910861	0.938859800119063	0.00589556825724977
6	0.9	pos	0.9776272	1.0152377	1.6066186	0.9777363	1.0153283	0.9465704	1.6017182723008	0.215415902103249	0.144639085280174	0.585278013284805	0.932964231861813	0.0407182555193188	0.0348463719910861	1.59380687265702	0.66084264079521
7	0	neg	0.9794513	0.9900784	0.965326	0.9795125	0.9901394	0.9660607	0.963773392572017	0.242141716744801	0.0417730893949302	-0.0201210608778764	0.933509474604039	0.0442109167834001	0.0100639506220119	0.967663281131574	0.0341538065275356
