t	P	cov	vgamma_GRMstd	vgamma_GRMstd_ganc	vgamma_GRMvarX	vgamma_GRMvarX_ganc	vgamma_GRMld	vgamma_GRMld_ganc	var.prs.lanc	exp.theta	exp.var.theta	va.term4	va.term1	va.term2	va.term3
0	0	neg							5.39348280737441e-06	0.0340636710751544	0.0329033373880381	-0.0158487213720509	0.929264401226867	0.00792705465573731	0.00792705465573731
0	0	pos							0.149149838957834	0.0340636710751544	0.0329033373880381	0.133142434492084	0.929264401226867	0.00792705465573731	0.00792705465573731
0	0.9	neg							5.39348280737441e-06	0.0340636710751544	0.0329033373880382	-0.0158487213720509	0.929264401226867	0.00792705465573731	0.00792705465573734
0	0.9	pos							0.149149838957834	0.0340636710751544	0.0329033373880382	0.133142434492085	0.929264401226867	0.00792705465573731	0.00792705465573734
1	0	neg							0.00381648289289184	0.0669670084631925	0.0465911637776946	-0.0224418077839337	0.929935673782876	0.0150532335928679	0.0112247185561931
1	0	pos							0.215387219205498	0.0669670084631925	0.0465911637776946	0.188529841153343	0.929935673782876	0.0150532335928679	0.0112247185561931
1	0.9	neg							0.000387839711603734	0.0669670084631925	0.0608933017943843	-0.0293307928670559	0.929935673782876	0.0150532335928679	0.0146703820892003
1	0.9	pos							0.276258467162656	0.0669670084631925	0.0608933017943843	0.246403042632173	0.929935673782876	0.0150532335928679	0.0146703820892003
2	0	neg	0.016656625	0.020633	0.0299561428571429	0.0307452			0.00925190205464727	0.0987495373891696	0.0511460677473603	-0.0246357920305872	0.930584080331334	0.0214413670909742	0.0123220836135231
2	0	pos	0.0361677	0.0241841	0.0569184	0.0380697	0.2447736		0.241163099014915	0.0987495373891696	0.0511460677473603	0.206961132673924	0.930584080331334	0.0214413670909742	0.0123220836135231
2	0.9	neg	0.1049175	0.0412394285714286	0.136474333333333	0.0496036			0.00104994162399104	0.0987495373891696	0.08452211866929	-0.0407122077850982	0.930584080331334	0.0214413670909742	0.0203630241640398
2	0.9	pos	0.0668997777777778	0.0059865	0.1265998	0.0116555			0.386804283790758	0.0987495373891696	0.08452211866929	0.342016389259932	0.930584080331334	0.0214413670909742	0.0203630241640398
3	0	neg	0.0252664	0.028312	0.0409686666666667	0.0412986			0.0146489034131417	0.129449436703876	0.051427737100965	-0.0247714651707213	0.931210399772406	0.0271497645551551	0.0123899432453453
3	0	pos	0.0413685	0.030808	0.0572726	0.0418813	0.2587233		0.249518802530974	0.129449436703876	0.051427737100965	0.208100899835487	0.931210399772406	0.0271497645551551	0.0123899432453453
3	0.9	neg	-0.040665	-0.00033675	-0.078042	0.0338377			0.00193910379681967	0.129449436703876	0.104286650410898	-0.0502322924174759	0.931210399772406	0.0271497645551551	0.0251246847066491
3	0.9	pos	0.0910915	0.0417563	0.1757836	0.0805549			0.480216735746241	0.129449436703876	0.104286650410898	0.421993014173076	0.931210399772406	0.0271497645551551	0.0251246847066491
4	0	neg	0.0291811	0.0308043	0.0400111	0.0422374			0.0203322065096343	0.159103584746285	0.0497740265763743	-0.0239749138353606	0.931815384474047	0.0322325279382476	0.0119915321796652
4	0	pos	0.04313875	0.035291875	0.0573422	0.0458136	0.2441753		0.247368439455935	0.159103584746285	0.0497740265763743	0.201409206449113	0.931815384474047	0.0322325279382476	0.0119915321796652
4	0.9	neg	0.0444765	0.0404224285714286	0.084552	0.0683609			0.00305422251423545	0.159103584746285	0.120633617827348	-0.0581062210954677	0.931815384474047	0.0322325279382476	0.0290629874580553
4	0.9	pos	0.0821522	0.0370581	0.1566364	0.0706086			0.555701578185395	0.159103584746285	0.120633617827348	0.488140560627747	0.931815384474047	0.0322325279382476	0.0290629874580553
5	0	neg	0.0352813	0.0396903	0.0504815	0.0520237			0.025430396591158	0.187747603643764	0.0473054432442459	-0.0227858584835222	0.932399761175807	0.0367398438105466	0.0113968023878132
5	0	pos	0.050512	0.04440475	0.0611552	0.0517117	0.2415837		0.24185356286937	0.187747603643764	0.0473054432442459	0.1914201530376	0.932399761175807	0.0367398438105466	0.0113968023878132
5	0.9	neg	0.04445825	0.0298486666666667	0.083562	0.0511824			0.00448319719153828	0.187747603643764	0.133964347242368	-0.0645273027533321	0.932399761175807	0.0367398438105466	0.0322746197440898
5	0.9	pos	0.0806536	0.0343744	0.1521638	0.0648536	0.6136129		0.61977192954179	0.187747603643764	0.133964347242368	0.542082984368516	0.932399761175807	0.0367398438105466	0.0322746197440898
6	0	neg	0.0433761111111111	0.0443324444444444	0.0518003	0.0531064			0.030129583710005	0.215415902103249	0.0445551300799277	-0.0214611008605155	0.932964231861813	0.0407182555193188	0.0107341983936703
6	0	pos	0.0521213333333333	0.0467465	0.0586826666666667	0.0484421	0.2283923		0.232758709984376	0.215415902103249	0.0445551300799277	0.180291087739619	0.932964231861813	0.0407182555193188	0.0107341983936703
6	0.9	neg	0.044181	0.0338482222222222	0.08153925	0.0566399			0.00609865231320741	0.215415902103249	0.144639085280174	-0.0696690592531552	0.932964231861813	0.0407182555193188	0.0348463719910861
6	0.9	pos	0.0804551	0.0369795	0.1499018	0.0688836	0.6736693		0.669926961938599	0.215415902103249	0.144639085280174	0.585278013284805	0.932964231861813	0.0407182555193188	0.0348463719910861
7	0	neg	0.0340144	0.0430672	0.0518061	0.0529324			0.0339090193365145	0.242141716744801	0.0417730893949302	-0.0201210608778764	0.933509474604039	0.0442109167834001	0.0100639506220119
7	0	pos	0.0628905	0.0587555	0.0601677	0.0516902	0.2169138		0.224036644875191	0.242141716744801	0.0417730893949302	0.169033637916573	0.933509474604039	0.0442109167834001	0.0100639506220119
7	0.9	neg	0.0581868	0.0455983333333333	0.0890491666666667	0.0802272			0.00727742074091676	0.242141716744801	0.152980919704693	-0.0736871139558386	0.933509474604039	0.0442109167834001	0.0368560823323937
7	0.9	pos	0.087389	0.0531487	0.161093	0.097929	0.7119505		0.711453409915441	0.242141716744801	0.152980919704693	0.619033012977149	0.933509474604039	0.0442109167834001	0.0368560823323937
8	0	neg	0.0499515555555556	0.0507598888888889	0.0576999	0.0586941			0.0379332438736688	0.267957152027187	0.03907307707477	-0.0188205319236652	0.934036144376838	0.0472578279776678	0.00941346508066204
8	0	pos	0.0629895	0.0582535	0.0656833	0.0585157	0.2222825		0.215339116736219	0.267957152027187	0.03907307707477	0.158108113577652	0.934036144376838	0.0472578279776678	0.00941346508066204
8	0.9	neg	0.058771875	0.0632924444444444	0.10674375	0.1064087			0.00871946837069794	0.267957152027187	0.159279341342119	-0.0767209074108316	0.934036144376838	0.0472578279776678	0.0383734947448776
8	0.9	pos	0.0806163	0.0390471	0.1468374	0.0710815	0.7405635		0.743229198099407	0.267957152027187	0.159279341342119	0.644519399977191	0.934036144376838	0.0472578279776678	0.0383734947448776
9	0	neg	0.0513901	0.0521498	0.0604486	0.0613426	0.0534306666666667	0.0533176666666667	0.0412141282917456	0.292893218813452	0.0365035142353892	-0.017582837248227	0.934544873843732	0.0498960562777573	0.00879440735928547
9	0	pos	0.0615485	0.0567696666666667	0.0707576	0.0646426	0.2108728		0.206486887618818	0.292893218813452	0.0365035142353892	0.147710449414261	0.934544873843732	0.0498960562777573	0.00879440735928547
9	0.9	neg	0.051724375	0.0562253333333333	0.092924875	0.0954733			0.0100728949368716	0.292893218813452	0.163793479057784	-0.0788952555642396	0.934544873843732	0.0498960562777573	0.0394610384178367
9	0.9	pos	0.0871457	0.0545135	0.1568111	0.0980608	0.763952		0.763464165514051	0.292893218813452	0.163793479057784	0.662785731991118	0.934544873843732	0.0498960562777573	0.0394610384178367
10	0	neg	0.0510914	0.0500107777777778	0.0591175	0.0600001	0.053873	0.0539523333333333	0.0441393865256735	0.316979871622802	0.0340817039607129	-0.0164163113178431	0.9350362741174	0.0521599407566331	0.00821094610771758
10	0	pos	0.064917	0.0609516666666667	0.06501925	0.0574335	0.1988095		0.197516317363697	0.316979871622802	0.0340817039607129	0.137910661871568	0.9350362741174	0.0521599407566331	0.00821094610771758
10	0.9	neg	0.055642875	0.06191525	0.09898175	0.0934664			0.0116170644745408	0.316979871622802	0.166755036963778	-0.0803217645388691	0.9350362741174	0.0521599407566331	0.0401745353835118
10	0.9	pos	0.0847306	0.0571725	0.1507564	0.1017138	0.769126		0.777566742849496	0.316979871622802	0.166755036963778	0.674769593228146	0.9350362741174	0.0521599407566331	0.0401745353835118
11	0	neg	0.0516552222222222	0.0523741111111111	0.0563793	0.0572347	0.05157375	0.0527153333333333	0.0463716713119682	0.340246044613552	0.0318103276610102	-0.0153222457013214	0.935510935493778	0.0540812834511587	0.00766372732990341
11	0	pos	0.0693205	0.072976	0.0688397142857143	0.0615701111111111	0.1825989	0.065311	0.189178124513389	0.340246044613552	0.0318103276610102	0.12871960120123	0.935510935493778	0.0540812834511587	0.00766372732990341
11	0.9	neg	0.0472317777777778	0.0504881	0.0830397777777778	0.0887889			0.0130120742422795	0.340246044613552	0.168370960480146	-0.0811001148097679	0.935510935493778	0.0540812834511587	0.0405638428231393
11	0.9	pos	0.0868415	0.0626742	0.152597	0.110139	0.7809236		0.785693720100217	0.340246044613552	0.168370960480146	0.681308382542583	0.935510935493778	0.0540812834511587	0.0405638428231393
12	0	neg	0.0550538888888889	0.0557231111111111	0.0598745	0.0606536	0.05469075	0.054656	0.0485862098653665	0.362719686340369	0.0296853850101259	-0.0142987135407906	0.935969428161158	0.0556895273482719	0.00715178726937959
12	0	pos	0.06821275	0.0655556	0.0721892222222222	0.0646856	0.185833	0.064725	0.183171701649705	0.362719686340369	0.0296853850101259	0.120121080195344	0.935969428161158	0.0556895273482719	0.00715178726937959
12	0.9	neg	0.0518556666666667	0.0527841	0.0902103333333333	0.091835			0.0146258944202673	0.362719686340369	0.168825855539295	-0.0813192264749752	0.935969428161158	0.0556895273482719	0.0406734359003999
12	0.9	pos	0.0813678	0.0564071	0.1411301	0.0978154	0.7853768		0.787541320627781	0.362719686340369	0.168825855539295	0.683149102676812	0.935969428161158	0.0556895273482719	0.0406734359003999
13	0	neg	0.0565925	0.057258	0.0632051	0.0639486	0.0545854285714286	0.0544771428571429	0.0504054303400912	0.384427793327541	0.0277000032304767	-0.0133424043897849	0.936412302885129	0.0570119221764343	0.00667347014020272
13	0	pos	0.066865	0.0630525	0.067522125	0.0613441111111111	0.1719425		0.174180116011072	0.384427793327541	0.0277000032304767	0.112087288351638	0.936412302885129	0.0570119221764343	0.00667347014020272
13	0.9	neg	0.058505	0.0580786	0.100828888888889	0.1000957			0.0157070008675329	0.384427793327541	0.168284183091637	-0.0810583162944488	0.936412302885129	0.0570119221764343	0.0405429364605574
13	0.9	pos	0.0792641	0.0535255	0.1359938	0.0918399	0.7849702		0.786014633392821	0.384427793327541	0.168284183091637	0.680957240266995	0.936412302885129	0.0570119221764343	0.0405429364605574
14	0	neg	0.056345	0.0569997	0.0623828	0.063108	0.0548961428571429	0.054879	0.0518530368086684	0.405396442498639	0.0258462531089591	-0.012449498943056	0.936840091670172	0.0580736788283875	0.00622686564054209
14	0	pos	0.0674086666666667	0.0617434285714286	0.0705101	0.0651347	0.1666625		0.167825450101953	0.405396442498639	0.0258462531089591	0.104586140331055	0.936840091670172	0.0580736788283875	0.00622686564054209
14	0.9	neg	0.0569199	0.0606554	0.0969762	0.1033351			0.0171078986188521	0.405396442498639	0.166892249123203	-0.0803878562321806	0.936840091670172	0.0580736788283875	0.0402075924644504
14	0.9	pos	0.0753186	0.0506763	0.1275902	0.0858127	0.7812564		0.778137816841632	0.405396442498639	0.166892249123203	0.675324818393674	0.936840091670172	0.0580736788283875	0.0402075924644504
15	0	neg	0.0588411111111111	0.0594667777777778	0.0625786	0.063281	0.054680625	0.054703125	0.0531429900486545	0.425650822501482	0.0241160039176405	-0.0116160808306613	0.937253308398754	0.0588981131856073	0.00581001491972087
15	0	pos	0.0663505	0.0635324	0.0696208	0.0640909	0.1626342	0.064654	0.162005635232248	0.425650822501482	0.0241160039176405	0.0975847353704185	0.937253308398754	0.0588981131856073	0.00581001491972087
15	0.9	neg	0.0573572	0.0619645	0.0965266	0.1042914			0.0185771259799654	0.425650822501482	0.164780008617249	-0.0793704423797549	0.937253308398754	0.0588981131856073	0.0396987125979707
15	0.9	pos	0.0769855	0.0560156	0.129282	0.0940677	0.7735647		0.773272839664129	0.425650822501482	0.164780008617249	0.666777696261992	0.937253308398754	0.0588981131856073	0.0396987125979707
16	0	neg	0.0580469	0.0586662	0.0633408	0.0640169	0.0529621	0.052993	0.0537127074995194	0.445215263966077	0.0225013156398579	-0.0108383255435458	0.937652449448611	0.0595067800629492	0.0054210050731205
16	0	pos	0.0611965	0.0618213333333333	0.067154	0.0604384444444445	0.1492612	0.063444	0.154960296935779	0.445215263966077	0.0225013156398579	0.0910509444143692	0.937652449448611	0.0595067800629492	0.0054210050731205
16	0.9	neg	0.0513007	0.0545759	0.0853798	0.0908376			0.0200603245411025	0.445215263966077	0.162062700267339	-0.0780615823570836	0.937652449448611	0.0595067800629492	0.0390440601062738
16	0.9	pos	0.0758162	0.0557193	0.1261231	0.0926953	0.7556225		0.763052752246412	0.445215263966077	0.162062700267339	0.655782184022428	0.937652449448611	0.0595067800629492	0.0390440601062738
17	0	neg	0.0550386	0.0556735	0.0597106	0.0603992	0.0531418571428571	0.053228	0.0547376616124252	0.464113268731853	0.0209946091139933	-0.0101125823875777	0.938037994289031	0.059919597943566	0.00505801013312919
17	0	pos	0.0642372	0.0606736666666667	0.0683932222222222	0.0627981	0.1466139	0.060468	0.149747236228865	0.464113268731853	0.0209946091139933	0.0849540985973958	0.938037994289031	0.059919597943566	0.00505801013312919
17	0.9	neg	0.0624346	0.0650039	0.1028425	0.105563111111111			0.0213686920281839	0.464113268731853	0.158842327265708	-0.0765104085714277	0.938037994289031	0.059919597943566	0.0382682095445291
17	0.9	pos	0.0782955	0.0602822	0.1289139	0.0992615	0.7445812		0.750316273347919	0.464113268731853	0.158842327265708	0.642751034739512	0.938037994289031	0.059919597943566	0.0382682095445291
18	0	neg	0.0610203	0.06162	0.0658222	0.0664688	0.0565257	0.0565753	0.0550635966080507	0.482367538079311	0.0195887302102794	-0.00943540539592371	0.938410406056824	0.0601549651290152	0.00471930653058401
18	0	pos	0.0682778	0.0641336	0.0710141111111111	0.0652531	0.1450181	0.0614516666666667	0.144065296176915	0.482367538079311	0.0195887302102794	0.0792652489334835	0.938410406056824	0.0601549651290152	0.00471930653058401
18	0.9	neg	0.0628528	0.0653613	0.102423	0.1065098			0.022567303636246	0.482367538079311	0.155208998135959	-0.0747603240632439	0.938410406056824	0.0601549651290152	0.0373928698106249
18	0.9	pos	0.075761	0.0575387	0.1234474	0.0937423	0.7327715		0.734034322662399	0.482367538079311	0.155208998135959	0.628048870033823	0.938410406056824	0.0601549651290152	0.0373928698106249
19	0	neg	0.061402	0.062002	0.0659061	0.0665498	0.0571889	0.0573079	0.0562656546891731	0.5	0.0182769640341526	-0.0088035601704521	0.938770132112653	0.0602298678873466	0.00440327651663518
19	0	pos	0.0685486	0.0640526666666667	0.070384375	0.0646371111111111	0.1320865	0.0634566666666667	0.138365162100768	0.5	0.0182769640341526	0.0739572237895848	0.938770132112653	0.0602298678873466	0.00440327651663518
19	0.9	neg	0.0567574	0.0595781	0.0914858	0.0960244			0.0234380429775152	0.5	0.151242140342118	-0.0728495870715616	0.938770132112653	0.0602298678873466	0.0364371765272212
19	0.9	pos	0.0786267777777778	0.0629316666666667	0.1236881	0.0969711	0.7184516		0.716067497116595	0.5	0.151242140342118	0.611997090917098	0.938770132112653	0.0602298678873466	0.0364371765272212
20	0	neg	0.0593026	0.0598956	0.0633275	0.0639603	0.0559914	0.0560182	0.0562477270605988	0.517031835537577	0.0170530261185299	-0.00821401963927047	0.939117604578442	0.0601599811426662	0.00410840604079412
20	0	pos	0.070917	0.0668627142857143	0.074056375	0.0682902222222222	0.134679	0.0634661666666667	0.132457502902771	0.517031835537577	0.0170530261185299	0.0690045932454135	0.939117604578442	0.0601599811426662	0.00410840604079412
20	0.9	neg	0.0444485	0.0473224	0.0711037	0.0756804			0.0243941246004002	0.517031835537577	0.147011598276771	-0.070811839907628	0.939117604578442	0.0601599811426662	0.0354179565684705
20	0.9	pos	0.0774124444444445	0.0610558	0.1217688	0.0975011	0.6988461		0.697463017538433	0.517031835537577	0.147011598276771	0.594878320770511	0.939117604578442	0.0601599811426662	0.0354179565684705
