t	P	cov	vgamma_GRMstd_mean	vgamma_GRMstd_CIl	vgamma_GRMstd_CIr	vgamma_GRMstd_ganc_mean	vgamma_GRMstd_ganc_CIl	vgamma_GRMstd_ganc_CIr	vgamma_GRMvarX_mean	vgamma_GRMvarX_CIl	vgamma_GRMvarX_CIr	vgamma_GRMvarX_ganc_mean	vgamma_GRMvarX_ganc_CIl	vgamma_GRMvarX_ganc_CIr	vgamma_GRMld_mean	vgamma_GRMld_CIl	vgamma_GRMld_CIr	vgamma_GRMld_ganc_mean	vgamma_GRMld_ganc_CIl	vgamma_GRMld_ganc_CIr	vgamma_gcta	vgamma_GCTA_wganc	vgamma_GRMvarX	vgamma_GRMvarX_ganc	var.prs.lanc	exp.theta	exp.var.theta	va.term4	va.term1	va.term2	va.term3
0	0	neg	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.39348280737441e-06	0.0340636710751544	0.0329033373880381	-0.0158487213720509	0.929264401226867	0.00792705465573731	0.00792705465573731
0	0	pos	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.149149838957834	0.0340636710751544	0.0329033373880381	0.133142434492084	0.929264401226867	0.00792705465573731	0.00792705465573731
0	0.9	neg	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.39348280737441e-06	0.0340636710751544	0.0329033373880382	-0.0158487213720509	0.929264401226867	0.00792705465573731	0.00792705465573734
0	0.9	pos	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.149149838957834	0.0340636710751544	0.0329033373880382	0.133142434492085	0.929264401226867	0.00792705465573731	0.00792705465573734
1	0	neg	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00381648289289184	0.0669670084631925	0.0465911637776946	-0.0224418077839337	0.929935673782876	0.0150532335928679	0.0112247185561931
1	0	pos	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.215387219205498	0.0669670084631925	0.0465911637776946	0.188529841153343	0.929935673782876	0.0150532335928679	0.0112247185561931
1	0.9	neg	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000387839711603734	0.0669670084631925	0.0608933017943843	-0.0293307928670559	0.929935673782876	0.0150532335928679	0.0146703820892003
1	0.9	pos	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.276258467162656	0.0669670084631925	0.0608933017943843	0.246403042632173	0.929935673782876	0.0150532335928679	0.0146703820892003
2	0	neg	0.0170391225	0.01085951875	0.0240075125	0.0207310311111111	0.0159493833333333	0.0254407666666667	0.0289528657142857	0.0213943142857143	0.0373165928571429	0.030579151	0.0229065175	0.0386195675	NA	NA	NA	NA	NA	NA	0.016656625	0.020633	0.0299561428571429	0.0307452	0.00925190205464727	0.0987495373891696	0.0511460677473603	-0.0246357920305872	0.930584080331334	0.0214413670909742	0.0123220836135231
2	0	pos	0.035877956	0.03193552	0.04001707	0.023919318	0.0171160475	0.0313057475	0.057402522	0.0511537625	0.064670475	0.038793299	0.028521525	0.0506273175	0.244977795	0.236854225	0.25372334	NA	NA	NA	0.0361677	0.0241841	0.0569184	0.0380697	0.241163099014915	0.0987495373891696	0.0511460677473603	0.206961132673924	0.930584080331334	0.0214413670909742	0.0123220836135231
2	0.9	neg	0.105028325	0.093835	0.116	0.0403540971428571	0.00171354285714286	0.0810949321428571	0.136124	0.0611456666666667	0.226256	0.050586054	-0.004047445	0.1155692525	NA	NA	NA	NA	NA	NA	0.1049175	0.0412394285714286	0.136474333333333	0.0496036	0.00104994162399104	0.0987495373891696	0.08452211866929	-0.0407122077850982	0.930584080331334	0.0214413670909742	0.0203630241640398
2	0.9	pos	0.0667480077777778	0.0587452027777778	0.0756706388888889	0.00755096	-0.01399125	0.03081993	0.126966977	0.113268945	0.142508405	0.010049755	-0.031943975	0.0607325174999999	NA	NA	NA	NA	NA	NA	0.0668997777777778	0.0059865	0.1265998	0.0116555	0.386804283790758	0.0987495373891696	0.08452211866929	0.342016389259932	0.930584080331334	0.0214413670909742	0.0203630241640398
3	0	neg	0.025040709	0.016889435	0.0309447975	0.028242504	0.0226550025	0.0344029025	0.0411106422222222	0.0335810472222222	0.0475561138888889	0.041272398	0.033779	0.0493980675	NA	NA	NA	NA	NA	NA	0.0252664	0.028312	0.0409686666666667	0.0412986	0.0146489034131417	0.129449436703876	0.051427737100965	-0.0247714651707213	0.931210399772406	0.0271497645551551	0.0123899432453453
3	0	pos	0.0414074275	0.036620678125	0.04710449375	0.0313513777777778	0.0252733972222222	0.0394618805555556	0.057700146	0.05021675	0.0639251325	0.042038936	0.032569635	0.049474385	0.257947395	0.251546725	0.2648309625	NA	NA	NA	0.0413685	0.030808	0.0572726	0.0418813	0.249518802530974	0.129449436703876	0.051427737100965	0.208100899835487	0.931210399772406	0.0271497645551551	0.0123899432453453
3	0.9	neg	-0.040665	-0.040665	-0.040665	0.0017009975	-0.0275165875	0.0333201249999999	-0.078042	-0.078042	-0.078042	0.03271863	-0.00322144	0.0648969925	NA	NA	NA	NA	NA	NA	-0.040665	-0.00033675	-0.078042	0.0338377	0.00193910379681967	0.129449436703876	0.104286650410898	-0.0502322924174759	0.931210399772406	0.0271497645551551	0.0251246847066491
3	0.9	pos	0.091087022	0.0707925725	0.1186221625	0.039482331	-0.006526155	0.0900389125	0.174027543	0.1344695375	0.21119213	0.077127827	0.0063437175	0.1543275825	NA	NA	NA	NA	NA	NA	0.0910915	0.0417563	0.1757836	0.0805549	0.480216735746241	0.129449436703876	0.104286650410898	0.421993014173076	0.931210399772406	0.0271497645551551	0.0251246847066491
4	0	neg	0.029359324	0.0250266225	0.033720995	0.030601651	0.02503248	0.035508915	0.039813021	0.0324496275	0.045518965	0.042218413	0.036615015	0.0480907075	NA	NA	NA	NA	NA	NA	0.0291811	0.0308043	0.0400111	0.0422374	0.0203322065096343	0.159103584746285	0.0497740265763743	-0.0239749138353606	0.931815384474047	0.0322325279382476	0.0119915321796652
4	0	pos	0.04315847375	0.04091130625	0.045731453125	0.03513796	0.0319546125	0.039131625	0.057089237	0.053351645	0.060904775	0.045405275	0.040134475	0.0504625575	0.244192706	0.2400724725	0.2490812675	NA	NA	NA	0.04313875	0.035291875	0.0573422	0.0458136	0.247368439455935	0.159103584746285	0.0497740265763743	0.201409206449113	0.931815384474047	0.0322325279382476	0.0119915321796652
4	0.9	neg	0.043892925	0.032805	0.056148	0.0417564428571429	0.0269366821428571	0.05509445	0.08499772	0.062266	0.106838	0.070032811	0.0493578675	0.0915704125	NA	NA	NA	NA	NA	NA	0.0444765	0.0404224285714286	0.084552	0.0683609	0.00305422251423545	0.159103584746285	0.120633617827348	-0.0581062210954677	0.931815384474047	0.0322325279382476	0.0290629874580553
4	0.9	pos	0.08207135	0.06915787	0.095697605	0.038931166	0.015994665	0.06277385	0.156407995	0.140210625	0.17999321	0.070029746	0.0331159675	0.1128066275	NA	NA	NA	NA	NA	NA	0.0821522	0.0370581	0.1566364	0.0706086	0.555701578185395	0.159103584746285	0.120633617827348	0.488140560627747	0.931815384474047	0.0322325279382476	0.0290629874580553
5	0	neg	0.03532826	0.0256094625	0.043759365	0.039867836	0.03282211	0.046081285	0.050462726	0.0420497775	0.0581119125	0.052371455	0.0457575775	0.0598716875	NA	NA	NA	NA	NA	NA	0.0352813	0.0396903	0.0504815	0.0520237	0.025430396591158	0.187747603643764	0.0473054432442459	-0.0227858584835222	0.932399761175807	0.0367398438105466	0.0113968023878132
5	0	pos	0.05043072	0.04740225	0.05406325	0.04413124	0.04089119375	0.047862	0.060761932	0.05719075	0.06360394	0.051856314	0.0474052675	0.055721565	0.24180704	0.2347537	0.248558495	NA	NA	NA	0.050512	0.04440475	0.0611552	0.0517117	0.24185356286937	0.187747603643764	0.0473054432442459	0.1914201530376	0.932399761175807	0.0367398438105466	0.0113968023878132
5	0.9	neg	0.0456460575	0.0185121625	0.069705	0.0315422644444444	0.00687653333333334	0.05195035	0.0815912325	0.03241125	0.130025925	0.051516119	0.0068484225	0.092846445	NA	NA	NA	NA	NA	NA	0.04445825	0.0298486666666667	0.083562	0.0511824	0.00448319719153828	0.187747603643764	0.133964347242368	-0.0645273027533321	0.932399761175807	0.0367398438105466	0.0322746197440898
5	0.9	pos	0.08190541	0.07285938	0.0914709175	0.035400997	0.01857461	0.0552095175	0.150004232	0.13528663	0.1680736525	0.064711807	0.027052055	0.111997975	0.614400709	0.6057931325	0.6232062525	NA	NA	NA	0.0806536	0.0343744	0.1521638	0.0648536	0.61977192954179	0.187747603643764	0.133964347242368	0.542082984368516	0.932399761175807	0.0367398438105466	0.0322746197440898
6	0	neg	0.0427946533333333	0.0370643305555556	0.0486388444444444	0.0444102144444444	0.038739925	0.0493422638888889	0.052795445	0.04515325	0.060156815	0.052839028	0.0441915225	0.061013005	NA	NA	NA	NA	NA	NA	0.0433761111111111	0.0443324444444444	0.0518003	0.0531064	0.030129583710005	0.215415902103249	0.0445551300799277	-0.0214611008605155	0.932964231861813	0.0407182555193188	0.0107341983936703
6	0	pos	0.05229253	0.050898	0.054561	0.04642025	0.044934	0.048559	0.0590294866666667	0.0545719888888889	0.0636715833333333	0.04866627	0.0442483025	0.05287986	0.228575567	0.2229079675	0.2349134	NA	NA	NA	0.0521213333333333	0.0467465	0.0586826666666667	0.0484421	0.232758709984376	0.215415902103249	0.0445551300799277	0.180291087739619	0.932964231861813	0.0407182555193188	0.0107341983936703
6	0.9	neg	0.0447240375	0.02820225	0.059705425	0.0339463166666667	0.0167193444444444	0.0533061972222222	0.0847292225	0.0586661625	0.11432075	0.057683514	0.025752845	0.089149105	NA	NA	NA	NA	NA	NA	0.044181	0.0338482222222222	0.08153925	0.0566399	0.00609865231320741	0.215415902103249	0.144639085280174	-0.0696690592531552	0.932964231861813	0.0407182555193188	0.0348463719910861
6	0.9	pos	0.080445378	0.0728528175	0.0879943275	0.036375995	0.0219135475	0.055500795	0.151333416	0.1346735475	0.1657950225	0.066976321	0.035009535	0.0913239775	0.672973349	0.6678256475	0.67923176	NA	NA	NA	0.0804551	0.0369795	0.1499018	0.0688836	0.669926961938599	0.215415902103249	0.144639085280174	0.585278013284805	0.932964231861813	0.0407182555193188	0.0348463719910861
7	0	neg	0.032816246	0.0229925475	0.041426035	0.043203232	0.0405688	0.045600945	0.051852054	0.0478729575	0.05521106	0.052796492	0.0492790625	0.0559443575	NA	NA	NA	NA	NA	NA	0.0340144	0.0430672	0.0518061	0.0529324	0.0339090193365145	0.242141716744801	0.0417730893949302	-0.0201210608778764	0.933509474604039	0.0442109167834001	0.0100639506220119
7	0	pos	0.063277865	0.059369	0.066412	0.058961275	0.05464	0.062871	0.060120838	0.0553981125	0.06883438	0.051902573	0.04465545	0.0596080875	0.216944535	0.2127947825	0.222110565	NA	NA	NA	0.0628905	0.0587555	0.0601677	0.0516902	0.224036644875191	0.242141716744801	0.0417730893949302	0.169033637916573	0.933509474604039	0.0442109167834001	0.0100639506220119
7	0.9	neg	0.05682046	0.045109115	0.070816595	0.0468042377777778	0.0283499305555556	0.0647103805555556	0.0868072633333333	0.0390315208333333	0.119464	0.077764882	0.05304121	0.106258665	NA	NA	NA	NA	NA	NA	0.0581868	0.0455983333333333	0.0890491666666667	0.0802272	0.00727742074091676	0.242141716744801	0.152980919704693	-0.0736871139558386	0.933509474604039	0.0442109167834001	0.0368560823323937
7	0.9	pos	0.087421386	0.0795190775	0.0947831125	0.052649123	0.0348913625	0.07062592	0.160740492	0.1413398375	0.1804660275	0.098304831	0.068923425	0.13051212	0.71266776	0.70039199	0.7264239575	NA	NA	NA	0.087389	0.0531487	0.161093	0.097929	0.711453409915441	0.242141716744801	0.152980919704693	0.619033012977149	0.933509474604039	0.0442109167834001	0.0368560823323937
