t	P	cov	vg_gcta.x.mean	vg_gcta.x.CI95l	vg_gcta.x.CI95r	vg_GRMvarX.x.mean	vg_GRMvarX.x.CI95l	vg_GRMvarX.x.CI95r	vg_GRMld.x.mean	vg_GRMld.x.CI95l	vg_GRMld.x.CI95r	vg_gcta_wganc.x.mean	vg_gcta_wganc.x.CI95l	vg_gcta_wganc.x.CI95r	vg_GRMvarX_ganc.x.mean	vg_GRMvarX_ganc.x.CI95l	vg_GRMvarX_ganc.x.CI95r	vg_GRMld_ganc.x.mean	vg_GRMld_ganc.x.CI95l	vg_GRMld_ganc.x.CI95r	ve_GRMstd.mean	ve_GRMstd.CI95l	ve_GRMstd.CI95r	ve_GRMvarx.mean	ve_GRMvarx.CI95l	ve_GRMvarx.CI95r	ve_GRMld.mean	ve_GRMld.CI95l	ve_GRMld.CI95r	ve_GRMstd_ganc.mean	ve_GRMstd_ganc.CI95l	ve_GRMstd_ganc.CI95r	ve_GRMvarx_ganc.mean	ve_GRMvarx_ganc.CI95l	ve_GRMvarx_ganc.CI95r	ve_GRMld_ganc.mean	ve_GRMld_ganc.CI95l	ve_GRMld_ganc.CI95r	h2_GRMstd.mean	h2_GRMstd.CI95l	h2_GRMstd.CI95r	h2_GRMvarx.mean	h2_GRMvarx.CI95l	h2_GRMvarx.CI95r	h2_GRMld.mean	h2_GRMld.CI95l	h2_GRMld.CI95r	h2_GRMstd_ganc.mean	h2_GRMstd_ganc.CI95l	h2_GRMstd_ganc.CI95r	h2_GRMvarx_ganc.mean	h2_GRMvarx_ganc.CI95l	h2_GRMvarx_ganc.CI95r	h2_GRMld_ganc.mean	h2_GRMld_ganc.CI95l	h2_GRMld_ganc.CI95r	vg_gcta.y	vg_GRMvarX.y	vg_GRMld.y	vg_gcta_wganc.y	vg_GRMvarX_ganc.y	vg_GRMld_ganc.y	var.prs.geno	exp.theta	exp.var.theta	va.term4	va.term1	va.term2	va.term3	exp.vg	exp.vgamma
 0	0.0	neg	0.9350810	0.9294398	0.9416404	0.9435744	0.9377358	0.9500557	0.9239399	0.9154412	0.9326348	0.9351529	0.9279274	0.9413141	0.9441589	0.9379030	0.9507065	0.9254434	0.9169166	0.9348813	0.2324600	0.2306696	0.2347817	0.2327693	0.2311151	0.2348409	0.2324121	0.2305683	0.2342760	0.2325733	0.2306311	0.2345590	0.2326143	0.2305460	0.2345441	0.2325026	0.2304327	0.2344807	0.8008220	0.7992955	0.8024124	0.8021994	0.8007991	0.8039787	0.7986514	0.7969481	0.8005871	0.8009542	0.7990023	0.8026702	0.8024055	0.8006188	0.8041872	0.7989010	0.7967917	0.8005789	0.9351316	0.9437423	0.9239045	0.9352649	0.9438900	0.9245376	0.9269455	0.03406367	0.03290334	-0.015848721	0.9292644	0.007927055	0.007927055	0.9292698	5.387939e-06
 0	0.0	pos	0.9394574	0.9309531	0.9461380	0.9488728	0.9390199	0.9561929	1.0746043	1.0621483	1.0834754	0.9398552	0.9308861	0.9456785	0.9483886	0.9401900	0.9548133	0.9486494	0.9339577	0.9635805	0.2690979	0.2659990	0.2730260	0.2688783	0.2653698	0.2725792	0.2685947	0.2649994	0.2721032	0.2691513	0.2655174	0.2726123	0.2691110	0.2661074	0.2726083	0.2698624	0.2666696	0.2737207	0.7775112	0.7742973	0.7802477	0.7792386	0.7765932	0.7818663	0.7998164	0.7979002	0.8014078	0.7774574	0.7748350	0.7799102	0.7792041	0.7768821	0.7815266	0.7779716	0.7752510	0.7802394	0.9398151	0.9487426	1.0736547	0.9394283	0.9483302	0.9475377	1.0719226	0.03406367	0.03290334	 0.133142434	0.9292644	0.007927055	0.007927055	1.0782609	1.489965e-01
 0	0.9	neg	0.9346886	0.9289672	0.9397634	0.9443020	0.9392640	0.9491673	0.9242920	0.9139447	0.9343467	0.9353093	0.9292735	0.9402328	0.9438763	0.9366024	0.9500715	0.9242824	0.9137203	0.9334706	0.2325055	0.2304948	0.2342713	0.2326864	0.2305124	0.2347765	0.2325590	0.2308449	0.2343624	0.2325991	0.2306270	0.2347934	0.2326766	0.2309420	0.2347677	0.2325728	0.2306138	0.2344514	0.8007307	0.7989512	0.8025366	0.8022002	0.8005371	0.8038251	0.7989057	0.7971058	0.8012107	0.8009270	0.7991584	0.8025107	0.8022132	0.8006835	0.8037969	0.7989023	0.7965142	0.8008340	0.9351316	0.9437423	0.9239045	0.9352649	0.9438900	0.9245376	0.9269455	0.03406367	0.03290334	-0.015848721	0.9292644	0.007927055	0.007927055	0.9292698	5.387939e-06
 0	0.9	pos	0.9400433	0.9324180	0.9460470	0.9492609	0.9406913	0.9552091	1.0740055	1.0612780	1.0849613	0.9386754	0.9305304	0.9458539	0.9476325	0.9384882	0.9549102	0.9475152	0.9283836	0.9627666	0.2691198	0.2660702	0.2724442	0.2689565	0.2660448	0.2724140	0.2689283	0.2656121	0.2734286	0.2691150	0.2657950	0.2724847	0.2690207	0.2658681	0.2727035	0.2698779	0.2665601	0.2727274	0.7774218	0.7748268	0.7797168	0.7789604	0.7757310	0.7811384	0.7997340	0.7973901	0.8015275	0.7777078	0.7745507	0.7802882	0.7788593	0.7759414	0.7816490	0.7782051	0.7750967	0.7801216	0.9398151	0.9487426	1.0736547	0.9394283	0.9483302	0.9475377	1.0719226	0.03406367	0.03290334	 0.133142434	0.9292644	0.007927055	0.007927055	1.0782609	1.489965e-01
 1	0.0	neg	0.9494777	0.9431770	0.9562860	0.9615583	0.9560057	0.9677271	0.9351647	0.9264428	0.9427808	0.9505173	0.9442773	0.9575832	0.9607332	0.9551313	0.9668952	0.9349251	0.9278103	0.9417463	0.2337780	0.2317977	0.2354659	0.2338560	0.2319376	0.2358877	0.2337415	0.2319884	0.2354568	0.2338092	0.2320176	0.2357309	0.2338450	0.2318691	0.2356890	0.2337957	0.2321376	0.2355755	0.8022935	0.8007214	0.8040017	0.8044180	0.8025832	0.8057984	0.7997967	0.7976837	0.8015010	0.8023217	0.8007781	0.8040508	0.8042753	0.8027988	0.8059692	0.8000313	0.7978970	0.8015288	0.9495048	0.9614857	0.9349943	0.9495665	0.9615508	0.9355175	0.9311188	0.06696701	0.04659116	-0.022441808	0.9299357	0.015053234	0.011224719	0.9337718	3.836144e-03
 1	0.0	pos	0.9501684	0.9422058	0.9570818	0.9625840	0.9547618	0.9711361	1.1430045	1.1328622	1.1539018	0.9506494	0.9389857	0.9594095	0.9631721	0.9560803	0.9702052	0.9580211	0.9475192	0.9697032	0.2861360	0.2835002	0.2896962	0.2855948	0.2826053	0.2887287	0.2862649	0.2827934	0.2889168	0.2859722	0.2831042	0.2891812	0.2860628	0.2831217	0.2894180	0.2874690	0.2846615	0.2905069	0.7686964	0.7664255	0.7707742	0.7713085	0.7695431	0.7734687	0.7997974	0.7979949	0.8013641	0.7688630	0.7667088	0.7707175	0.7712353	0.7689083	0.7730817	0.7691197	0.7674249	0.7714182	0.9512404	0.9635189	1.1426274	0.9510429	0.9633043	0.9573280	1.1399910	0.06696701	0.04659116	 0.188529841	0.9299357	0.015053234	0.011224719	1.1447435	2.148078e-01
 1	0.9	neg	0.9399199	0.9339766	0.9476566	0.9559542	0.9483487	0.9623306	0.9235561	0.9136425	0.9342728	0.9400562	0.9332401	0.9473693	0.9568822	0.9499010	0.9630720	0.9242627	0.9146053	0.9333824	0.2316708	0.2296581	0.2342710	0.2315320	0.2294092	0.2344709	0.2316798	0.2295575	0.2344060	0.2314913	0.2294785	0.2339103	0.2314026	0.2291306	0.2339516	0.2314687	0.2296131	0.2337893	0.8022962	0.8004020	0.8039570	0.8049701	0.8029471	0.8063208	0.7997133	0.7986353	0.8008142	0.8025003	0.8005870	0.8041085	0.8050162	0.8030660	0.8066183	0.7996535	0.7986769	0.8008646	0.9404864	0.9563642	0.9242236	0.9405594	0.9564432	0.9247212	0.9291919	0.06696701	0.06089330	-0.029330793	0.9299357	0.015053234	0.014670382	0.9303285	3.928228e-04
 1	0.9	pos	0.9484753	0.9394686	0.9564480	0.9667700	0.9580310	0.9750123	1.2075765	1.1998490	1.2161981	0.9498522	0.9393943	0.9586620	0.9655169	0.9552902	0.9733651	0.9449260	0.9332205	0.9617467	0.3009081	0.2978510	0.3039398	0.3009578	0.2980491	0.3049886	0.3012240	0.2982978	0.3042357	0.3006054	0.2978915	0.3031185	0.3008141	0.2981195	0.3034384	0.3032748	0.3002475	0.3062198	0.7592812	0.7565400	0.7617469	0.7624821	0.7599859	0.7646958	0.8005194	0.7993738	0.8017310	0.7592669	0.7565643	0.7620572	0.7622661	0.7598754	0.7641661	0.7574792	0.7549341	0.7593186	0.9495573	0.9658596	1.2079172	0.9496735	0.9659676	0.9466141	1.2031486	0.06696701	0.06089330	 0.246403043	0.9299357	0.015053234	0.014670382	1.2060623	2.761267e-01
10	0.0	neg	0.9922004	0.9877046	0.9983818	1.0007269	0.9940270	1.0075261	0.9940823	0.9840697	1.0029606	0.9923774	0.9859191	0.9979847	1.0007632	0.9954417	1.0063222	0.9952907	0.9844693	1.0054066	0.2492932	0.2470037	0.2520667	0.2493174	0.2465601	0.2517599	0.2493345	0.2468218	0.2518494	0.2494003	0.2458851	0.2524616	0.2494005	0.2467216	0.2518173	0.2493049	0.2464978	0.2517016	0.7992696	0.7973465	0.8015353	0.8003056	0.7984868	0.8023588	0.7994957	0.7983449	0.8008496	0.7991214	0.7974145	0.8008900	0.8005660	0.7989348	0.8022999	0.7994681	0.7982325	0.8009806	0.9924080	1.0005361	0.9946328	0.9924270	1.0005567	0.9950955	0.9911190	0.31697987	0.03408170	-0.016416311	0.9350363	0.052159941	0.008210946	0.9789908	4.395458e-02
10	0.0	pos	0.9870194	0.9802981	0.9928871	0.9949145	0.9879493	1.0014402	1.1280875	1.1174248	1.1407045	0.9859589	0.9781247	0.9922372	0.9937759	0.9857397	1.0003598	1.0088028	0.9959502	1.0230947	0.2851691	0.2816430	0.2897109	0.2848059	0.2813148	0.2885152	0.2848905	0.2810739	0.2883793	0.2850703	0.2819511	0.2903211	0.2850417	0.2812935	0.2893720	0.2859057	0.2828590	0.2902625	0.7758652	0.7733843	0.7780938	0.7774227	0.7755733	0.7797846	0.7983588	0.7968251	0.7993301	0.7758945	0.7740141	0.7773980	0.7772485	0.7750311	0.7793347	0.7790532	0.7774317	0.7804009	0.9863514	0.9949660	1.1281124	0.9855749	0.9941675	1.0085104	1.1276210	0.31697987	0.03408170	 0.137910662	0.9350363	0.052159941	0.008210946	1.1333178	1.982815e-01
