t	P	cov	vg_HEreg_noa.mean	vg_HEreg_noa.CI95l	vg_HEreg_noa.CI95r	vg_HEreg_adj.mean	vg_HEreg_adj.CI95l	vg_HEreg_adj.CI95r	exp.vg	va.term1	va.term2	va.term3	va.term4	vg_GRMvarX_ganc.mean	vg_GRMvarX_ganc.CI95l	vg_GRMvarX_ganc.CI95r	vg_GRMvarX_noa.mean	vg_GRMvarX_noa.CI95l	vg_GRMvarX_noa.CI95r	vg_GRMvarX_gcta.mean	vg_GRMvarX_gcta.CI95l	vg_GRMvarX_gcta.CI95r	vg_GRMld_ganc.mean	vg_GRMld_ganc.CI95l	vg_GRMld_ganc.CI95r	vg_GRMld_noa.mean	vg_GRMld_noa.CI95l	vg_GRMld_noa.CI95r
0	0	neg	0.33498175	0.3297085	0.34136056	0.79383851	0.78005644	0.80527302	0.929269789	0.929264401	0.007927055	0.007927055	-0.015848721	0.83170495	0.81681675	0.84595457	0.3746533	0.36674086	0.38101281	0.37449144	0.36699456	0.3808714	0.9254312	0.9138143	0.93505	0.9250208	0.915198	0.9367059
0	0	pos	2.66713975	2.64447323	2.69864606	0.79303062	0.77776719	0.81274684	1.078260945	0.929264401	0.007927055	0.007927055	0.133142434	0.83100938	0.80908468	0.84957754	2.7938595	2.75747774	2.82945146	2.77625511	2.74900521	2.8066485	0.9239419	0.9097354	0.936803	1.0817595	1.0698794	1.0938122
0	0.9	neg	0.33421951	0.32617056	0.34049149	0.79432505	0.78046096	0.8093939	0.929269789	0.929264401	0.007927055	0.007927055	-0.015848721	0.83196681	0.8176374	0.84646031	0.37497436	0.3678184	0.38062749	0.37464815	0.36813844	0.38077521	0.9253344	0.9137961	0.9354963	0.9247502	0.914735	0.9344742
0	0.9	pos	2.66539601	2.63809693	2.68974555	0.79448866	0.77115849	0.81298823	1.078260945	0.929264401	0.007927055	0.007927055	0.133142434	0.82738969	0.80580605	0.85272246	2.79373727	2.76245965	2.81732168	2.77640628	2.74834093	2.80340608	0.9233933	0.9121093	0.9357766	1.082145	1.069573	1.0940041
1	0	neg	0.24909866	0.24610647	0.2519344	0.62308711	0.61710343	0.6306033	0.933771818	0.929935674	0.015053234	0.011224719	-0.022441808	0.67258142	0.66518644	0.67979023	0.28418215	0.28093621	0.28658016	0.28369052	0.28051282	0.28707714	0.9354771	0.9284836	0.9421997	0.9357934	0.928677	0.9426672
1	0	pos	3.25521057	3.17418465	3.32809498	0.62115694	0.61142094	0.62873717	1.144743467	0.929935674	0.015053234	0.011224719	0.188529841	0.67068744	0.66045658	0.68190519	3.45292202	3.38920107	3.52161065	3.44185156	3.35718383	3.5140704	0.9324622	0.9235187	0.9431326	1.1551235	1.1470491	1.164419
1	0.9	neg	0.16427973	0.16048393	0.16855968	0.55590581	0.54559285	0.56574898	0.930328497	0.929935674	0.015053234	0.014670382	-0.029330793	0.61860964	0.60822659	0.62815358	0.19727245	0.19257278	0.20437148	0.19660345	0.19279641	0.20268343	0.9253491	0.9174631	0.9335442	0.9243628	0.9145129	0.9362489
1	0.9	pos	3.64158455	3.58626229	3.68972968	0.55275456	0.54081912	0.56540894	1.206062332	0.929935674	0.015053234	0.014670382	0.246403043	0.61426616	0.60039854	0.62606618	3.97026261	3.90862615	4.02191276	3.962057	3.89874512	4.02549113	0.924453	0.9108991	0.9373358	1.2198857	1.2099049	1.2302822
10	0	neg	0.580371	0.57200814	0.5894803	0.61560946	0.60543057	0.62371564	0.97899085	0.935036274	0.052159941	0.008210946	-0.016416311	0.63650761	0.62686956	0.64598542	0.60280406	0.5934373	0.61348083	0.60215338	0.59324744	0.6117642	0.9941516	0.9841182	1.0033516	0.9945122	0.98576	1.0038344
10	0	pos	3.12958536	3.06147125	3.18789332	0.59112029	0.57875651	0.60390113	1.133317823	0.935036274	0.052159941	0.008210946	0.137910662	0.61071587	0.59736924	0.62229652	3.17324443	3.11403835	3.25413983	3.1697295	3.10606268	3.24303017	0.9664204	0.9562243	0.9759817	1.130422	1.118113	1.1431065
10	0.9	neg	0.05045272	0.04927885	0.05173056	0.08774007	0.08632855	0.08931383	0.947048986	0.935036274	0.052159941	0.040174535	-0.080321765	0.11315319	0.11192327	0.11512269	0.06559169	0.06414589	0.06686181	0.06546078	0.064286	0.06707243	0.9447687	0.9404076	0.9517459	0.944781	0.9393734	0.9504934
10	0.9	pos	5.56150468	5.46442421	5.64582957	0.0842647	0.08283759	0.08612722	1.702140343	0.935036274	0.052159941	0.040174535	0.674769593	0.10884636	0.10642405	0.11090623	6.4069302	6.320971	6.47181218	6.40117096	6.30263227	6.48520226	0.9256589	0.9159545	0.9365151	1.6937744	1.677402	1.7118222
11	0	neg	0.60319037	0.58990442	0.61792223	0.62738794	0.61379051	0.64273352	0.981933701	0.935510935	0.054081283	0.007663727	-0.015322246	0.64487686	0.6290334	0.65867522	0.62146259	0.60880777	0.63655128	0.62107643	0.60674541	0.63689041	0.9799112	0.9681776	0.9926012	0.9793424	0.9678929	0.9938933
11	0	pos	2.85203985	2.78162775	2.93336041	0.63185042	0.62469356	0.63755127	1.125975547	0.935510935	0.054081283	0.007663727	0.128719601	0.65027306	0.64246493	0.65542051	2.88967935	2.82627033	2.96014285	2.88164078	2.81909271	2.93774102	0.977882	0.9737416	0.9818279	1.122282	1.1167769	1.1271297
11	0.9	neg	0.0509071	0.04986839	0.05197402	0.08318112	0.08210709	0.08419979	0.949055947	0.935510935	0.054081283	0.040563843	-0.081100115	0.10713812	0.10576755	0.10851977	0.06583737	0.06477811	0.06717308	0.06582378	0.06474026	0.06684323	0.9421898	0.9356049	0.9497864	0.9418113	0.9362439	0.9479356
11	0.9	pos	5.66688711	5.58098287	5.76275884	0.08368835	0.08240389	0.08490628	1.711464444	0.935510935	0.054081283	0.040563843	0.681308383	0.10769063	0.10622456	0.1092654	6.52730189	6.425197	6.6431614	6.51787133	6.4253174	6.62112936	0.9508498	0.9426832	0.9590722	1.7294455	1.714474	1.7427677
12	0	neg	0.63241837	0.62268468	0.6456042	0.65173117	0.64044865	0.66598574	0.984512029	0.935969428	0.055689527	0.007151787	-0.014298714	0.66889735	0.65726351	0.68225494	0.65131382	0.64000101	0.66308148	0.65117488	0.63960998	0.66270309	0.9743019	0.963285	0.9851918	0.9740464	0.9637853	0.9875205
