t	P	cov	vg_gcta.x.mean	vg_gcta.x.CI95l	vg_gcta.x.CI95r	vg_GRMvarX.x.mean	vg_GRMvarX.x.CI95l	vg_GRMvarX.x.CI95r	vg_GRMld.x.mean	vg_GRMld.x.CI95l	vg_GRMld.x.CI95r	vg_gcta_wganc.x.mean	vg_gcta_wganc.x.CI95l	vg_gcta_wganc.x.CI95r	vg_GRMvarX_ganc.x.mean	vg_GRMvarX_ganc.x.CI95l	vg_GRMvarX_ganc.x.CI95r	vg_GRMld_ganc.x.mean	vg_GRMld_ganc.x.CI95l	vg_GRMld_ganc.x.CI95r	ve_GRMstd.mean	ve_GRMstd.CI95l	ve_GRMstd.CI95r	ve_GRMvarx.mean	ve_GRMvarx.CI95l	ve_GRMvarx.CI95r	ve_GRMld.mean	ve_GRMld.CI95l	ve_GRMld.CI95r	ve_GRMstd_ganc.mean	ve_GRMstd_ganc.CI95l	ve_GRMstd_ganc.CI95r	ve_GRMvarx_ganc.mean	ve_GRMvarx_ganc.CI95l	ve_GRMvarx_ganc.CI95r	ve_GRMld_ganc.mean	ve_GRMld_ganc.CI95l	ve_GRMld_ganc.CI95r	h2_GRMstd.mean	h2_GRMstd.CI95l	h2_GRMstd.CI95r	h2_GRMvarx.mean	h2_GRMvarx.CI95l	h2_GRMvarx.CI95r	h2_GRMld.mean	h2_GRMld.CI95l	h2_GRMld.CI95r	h2_GRMstd_ganc.mean	h2_GRMstd_ganc.CI95l	h2_GRMstd_ganc.CI95r	h2_GRMvarx_ganc.mean	h2_GRMvarx_ganc.CI95l	h2_GRMvarx_ganc.CI95r	h2_GRMld_ganc.mean	h2_GRMld_ganc.CI95l	h2_GRMld_ganc.CI95r	vg_gcta.y	vg_GRMvarX.y	vg_GRMld.y	vg_gcta_wganc.y	vg_GRMvarX_ganc.y	vg_GRMld_ganc.y	var.prs.geno	exp.theta	exp.var.theta	va.term4	va.term1	va.term2	va.term3	exp.vg	exp.vgamma
 0	0.0	neg	0.9989558	0.9946467	1.0036939	1.0602991	1.0563776	1.0651822	0.9413563	0.9295219	0.9528479	0.9993657	0.9946481	1.0036827	1.0605638	1.0559477	1.0659940	0.9426566	0.9321092	0.9566228	0.2369950	0.2346473	0.2395170	0.2366032	0.2342586	0.2392445	0.2365956	0.2338355	0.2391359	0.2367058	0.2346456	0.2390127	0.2366585	0.2343384	0.2395632	0.2370059	0.2345646	0.2395295	0.8083628	0.8067546	0.8098767	0.8174827	0.8159454	0.8188747	0.7990291	0.7972697	0.8010445	0.8085481	0.8069836	0.8098259	0.8175613	0.8159257	0.8189210	0.7990079	0.7972652	0.8009058	0.9993000	1.0603255	0.9412065	0.9993737	1.0604063	0.9420380	0.9432842	0.5	2.500000e-01	-1.204188e-01	0.9387701	0.06022987	6.022987e-02	0.9388111	4.093764e-05
 0	0.0	pos	1.0028630	0.9913860	1.0122793	1.0652133	1.0537060	1.0737075	2.0674722	2.0509654	2.0819245	1.0025389	0.9915247	1.0113250	1.0640989	1.0532339	1.0733809	0.9350290	0.9148497	0.9521086	0.5201209	0.5122465	0.5272045	0.5195527	0.5119801	0.5265579	0.5202817	0.5122940	0.5271384	0.5196924	0.5122608	0.5267945	0.5196292	0.5130378	0.5273542	0.5238259	0.5172845	0.5302574	0.6584437	0.6540712	0.6617262	0.6716998	0.6678026	0.6751885	0.7991006	0.7974838	0.8008689	0.6583061	0.6535483	0.6624008	0.6718833	0.6679453	0.6749038	0.6406110	0.6349471	0.6452174	1.0026593	1.0651284	2.0683894	1.0021528	1.0644140	0.9354826	2.0717146	0.5	2.500000e-01	 1.011618e+00	0.9387701	0.06022987	6.022987e-02	2.0708479	1.132078e+00
 0	0.9	neg	0.9992535	0.9948996	1.0035656	1.0603394	1.0564284	1.0645415	0.9417189	0.9284367	0.9564351	0.9994270	0.9948267	1.0040435	1.0604547	1.0546557	1.0646435	0.9415919	0.9289535	0.9517587	0.2368299	0.2344212	0.2394828	0.2367904	0.2343137	0.2395455	0.2369119	0.2348280	0.2396716	0.2368050	0.2338326	0.2393885	0.2367690	0.2345863	0.2394442	0.2366533	0.2340982	0.2392372	0.8084728	0.8066507	0.8099627	0.8173702	0.8157362	0.8188107	0.7989521	0.7971369	0.8008068	0.8084358	0.8065529	0.8101303	0.8175439	0.8161734	0.8188881	0.7992801	0.7978479	0.8007216	0.9993000	1.0603255	0.9412065	0.9993737	1.0604063	0.9420380	0.9432842	0.5	2.500000e-01	-1.204188e-01	0.9387701	0.06022987	6.022987e-02	0.9388111	4.093764e-05
 0	0.9	pos	1.0026732	0.9944199	1.0122603	1.0656650	1.0561703	1.0749763	2.0687229	2.0497347	2.0848412	1.0023873	0.9918127	1.0113588	1.0637383	1.0531329	1.0723248	0.9360621	0.9207993	0.9530131	0.5197554	0.5119928	0.5261734	0.5196245	0.5124720	0.5279197	0.5202534	0.5127729	0.5275577	0.5199386	0.5141870	0.5275338	0.5200677	0.5129226	0.5276777	0.5236163	0.5168480	0.5300793	0.6585388	0.6544715	0.6619118	0.6722873	0.6689018	0.6752522	0.7991487	0.7975223	0.8007545	0.6580400	0.6534096	0.6617376	0.6717706	0.6675679	0.6752193	0.6408215	0.6357826	0.6449551	1.0026593	1.0651284	2.0683894	1.0021528	1.0644140	0.9354826	2.0717146	0.5	2.500000e-01	 1.011618e+00	0.9387701	0.06022987	6.022987e-02	2.0708479	1.132078e+00
 1	0.0	neg	0.9978253	0.9942550	1.0033648	1.0290183	1.0246861	1.0336788	0.9659413	0.9555646	0.9774412	0.9978391	0.9938780	1.0015383	1.0286764	1.0242954	1.0334195	0.9665436	0.9547382	0.9778398	0.2409902	0.2382841	0.2439042	0.2408379	0.2377098	0.2442049	0.2406343	0.2377338	0.2432367	0.2408621	0.2379824	0.2437303	0.2408337	0.2382733	0.2437315	0.2408162	0.2378682	0.2438917	0.8055205	0.8039081	0.8070422	0.8104565	0.8090146	0.8119283	0.8004228	0.7993560	0.8015883	0.8054383	0.8041263	0.8069844	0.8104406	0.8088235	0.8123658	0.8004801	0.7994311	0.8016855	0.9979144	1.0288843	0.9657878	0.9979352	1.0289105	0.9664726	0.9656143	0.5	1.250000e-01	-6.020940e-02	0.9387701	0.06022987	3.011493e-02	0.9689055	3.013540e-02
 1	0.0	pos	0.9934738	0.9863790	0.9997046	1.0256013	1.0186008	1.0316186	1.5316656	1.5204775	1.5466702	0.9936637	0.9848465	1.0005793	1.0253516	1.0158678	1.0319732	0.9704465	0.9588950	0.9789342	0.3847324	0.3800069	0.3906484	0.3843440	0.3787814	0.3902857	0.3847277	0.3791581	0.3907167	0.3846926	0.3792622	0.3903716	0.3844005	0.3788742	0.3901776	0.3882256	0.3826472	0.3939664	0.7210183	0.7182647	0.7237529	0.7271520	0.7241807	0.7300121	0.7995580	0.7976948	0.8013277	0.7212685	0.7177252	0.7239583	0.7275562	0.7249705	0.7300809	0.7141812	0.7112953	0.7166990	0.9932119	1.0247986	1.5311734	0.9934790	1.0250530	0.9695122	1.5352888	0.5	1.250000e-01	 5.058090e-01	0.9387701	0.06022987	3.011493e-02	1.5349239	5.961538e-01
 1	0.9	neg	1.0044812	1.0006722	1.0080042	1.0633471	1.0586803	1.0680721	0.9428221	0.9357854	0.9498749	1.0046561	0.9997901	1.0088527	1.0635032	1.0597837	1.0678410	0.9426397	0.9373306	0.9486661	0.2342290	0.2319837	0.2366673	0.2342693	0.2319628	0.2361559	0.2343491	0.2324870	0.2369276	0.2341897	0.2314075	0.2366310	0.2340518	0.2318764	0.2366766	0.2343908	0.2321896	0.2368569	0.8109037	0.8094062	0.8120950	0.8195873	0.8184906	0.8204930	0.8010723	0.7998013	0.8022804	0.8109835	0.8094561	0.8121704	0.8195456	0.8182229	0.8207796	0.8011911	0.8000596	0.8025898	1.0043748	1.0633819	0.9426347	1.0044420	1.0634621	0.9434079	0.9385195	0.5	2.375000e-01	-1.143979e-01	0.9387701	0.06022987	5.721837e-02	0.9418205	3.050384e-03
 1	0.9	pos	1.0027379	0.9941829	1.0099739	1.0623793	1.0523767	1.0720655	2.0248541	2.0094164	2.0410872	1.0019617	0.9928861	1.0092275	1.0618503	1.0535633	1.0696718	0.9424704	0.9314642	0.9522020	0.5046063	0.5009309	0.5079523	0.5046171	0.5007539	0.5092416	0.5050861	0.5002705	0.5095950	0.5048402	0.5008741	0.5096185	0.5047543	0.5005217	0.5093440	0.5086863	0.5045652	0.5130609	0.6652171	0.6625349	0.6681801	0.6780392	0.6756021	0.6805536	0.8004030	0.7989191	0.8017079	0.6652683	0.6623727	0.6685333	0.6776502	0.6750110	0.6798467	0.6489937	0.6460589	0.6515666	1.0033198	1.0628863	2.0251348	1.0024017	1.0616795	0.9412423	2.0258872	0.5	2.375000e-01	 9.610371e-01	0.9387701	0.06022987	5.721837e-02	2.0172555	1.078485e+00
10	0.0	neg	1.0005945	0.9958965	1.0048476	1.0003669	0.9968893	1.0046020	0.9878672	0.9748033	0.9995984	1.0005472	0.9966425	1.0053582	1.0001494	0.9957882	1.0044859	0.9889847	0.9799192	0.9977463	0.2469480	0.2433343	0.2501065	0.2466763	0.2427410	0.2498709	0.2471566	0.2441206	0.2504793	0.2470770	0.2442614	0.2502638	0.2467727	0.2432252	0.2500008	0.2471276	0.2423499	0.2510349	0.8019186	0.7994265	0.8043010	0.8020001	0.8001131	0.8044385	0.8000331	0.7990179	0.8010134	0.8019072	0.7995909	0.8037354	0.8020707	0.7994943	0.8043496	0.8000520	0.7992080	0.8007835	1.0001755	1.0002917	0.9886280	1.0001716	1.0002877	0.9886446	0.9862957	0.5	2.441406e-04	-1.175965e-04	0.9387701	0.06022987	5.881823e-05	0.9989412	6.017109e-02
10	0.0	pos	0.9940695	0.9894521	0.9992726	0.9946311	0.9879815	1.0011973	1.0004598	0.9938453	1.0103170	0.9944011	0.9880644	1.0007421	0.9939549	0.9884108	1.0006305	1.0006896	0.9933563	1.0096858	0.2510807	0.2489857	0.2531480	0.2509177	0.2490315	0.2527901	0.2509347	0.2485019	0.2531919	0.2509758	0.2490486	0.2526974	0.2508625	0.2487527	0.2533315	0.2510114	0.2490095	0.2528451	0.7982156	0.7963308	0.7997269	0.7984358	0.7970070	0.8003648	0.7995357	0.7981024	0.8015979	0.7983522	0.7968096	0.8000050	0.7983879	0.7969572	0.7998000	0.7993589	0.7979938	0.8011428	0.9940236	0.9942556	1.0005172	0.9939679	0.9942001	1.0004448	1.0036439	0.5	2.441406e-04	 9.879082e-04	0.9387701	0.06022987	5.881823e-05	1.0000467	6.127659e-02
