t	P	cov	vg_HEreg_noa.mean	vg_HEreg_noa.CI95l	vg_HEreg_noa.CI95r	vg_HEreg_adj.mean	vg_HEreg_adj.CI95l	vg_HEreg_adj.CI95r	exp.vg	va.term1	va.term2	va.term3	va.term4	vg_GRMvarX_ganc.mean	vg_GRMvarX_ganc.CI95l	vg_GRMvarX_ganc.CI95r	vg_GRMvarX_noa.mean	vg_GRMvarX_noa.CI95l	vg_GRMvarX_noa.CI95r	vg_GRMvarX_gcta.mean	vg_GRMvarX_gcta.CI95l	vg_GRMvarX_gcta.CI95r	vg_GRMld_ganc.mean	vg_GRMld_ganc.CI95l	vg_GRMld_ganc.CI95r	vg_GRMld_noa.mean	vg_GRMld_noa.CI95l	vg_GRMld_noa.CI95r
0	0	neg	0.02532406	0.02474459	0.02595435	0.03692375	0.03601011	0.03805221	0.93881107	0.938770132	0.060229868	0.060229868	-0.120418798	0.05237099	0.05127128	0.05368937	0.03597314	0.03507839	0.03685841	0.03595334	0.03510674	0.03680995	0.9415004	0.9282941	0.9583279	0.9427203	0.9310698	0.9583382
0	0	pos	6.00887088	5.95114635	6.06580055	0.03620956	0.03520328	0.03724707	2.070847876	0.938770132	0.060229868	0.060229868	1.011618008	0.05129161	0.04994867	0.0525992	7.29603342	7.22490139	7.3745084	7.29467926	7.21747526	7.380688	0.9299205	0.9131098	0.9450892	2.0660927	2.0503219	2.0817828
0	0.9	neg	0.02527206	0.02466734	0.02617232	0.03681073	0.03602947	0.03784405	0.93881107	0.938770132	0.060229868	0.060229868	-0.120418798	0.05244559	0.05140672	0.05377473	0.03610571	0.03524028	0.0368823	0.03603688	0.03523283	0.03712559	0.9403691	0.9301412	0.953329	0.9414872	0.9324463	0.9517894
0	0.9	pos	6.00970431	5.95384948	6.0917445	0.03613239	0.0348456	0.03722028	2.070847876	0.938770132	0.060229868	0.060229868	1.011618008	0.05135901	0.04993036	0.05244473	7.29825813	7.22495461	7.35300948	7.2915415	7.21769412	7.37078449	0.9297935	0.912028	0.9450304	2.0645933	2.0497358	2.0806406
1	0	neg	0.09885841	0.09697666	0.10149958	0.11828434	0.11562833	0.12039872	0.968905535	0.938770132	0.060229868	0.030114934	-0.060209399	0.14077534	0.13762978	0.14344522	0.118023	0.11539886	0.12216427	0.11801354	0.11385382	0.12092683	0.9647447	0.9534475	0.9731227	0.9650265	0.95442	0.9757786
1	0	pos	5.7023418	5.59495708	5.80388827	0.11316972	0.11118089	0.11493661	1.534923938	0.938770132	0.060229868	0.030114934	0.505809004	0.13539378	0.13335797	0.13740517	6.27522681	6.18415301	6.40162457	6.28490738	6.18100911	6.40091358	0.9502031	0.941952	0.9586639	1.531409	1.5195666	1.5434351
1	0.9	neg	0.02804988	0.02740086	0.02903215	0.0398562	0.03917482	0.0405464	0.941820516	0.938770132	0.060229868	0.057218374	-0.114397858	0.05573729	0.05503254	0.05649265	0.0394367	0.03838315	0.04080974	0.03931799	0.03837891	0.04103563	0.9419985	0.9349953	0.9489947	0.942146	0.9350691	0.9485679
1	0.9	pos	6.02466377	5.96505086	6.09702445	0.03934526	0.03866405	0.03998449	2.017255482	0.938770132	0.060229868	0.057218374	0.961037108	0.05510609	0.05426059	0.05589377	7.25383154	7.16623612	7.34114446	7.24187041	7.15213567	7.32922251	0.9362101	0.9228993	0.945747	2.0229003	2.0020038	2.0361089
10	0	neg	0.97677484	0.95704843	0.99470904	0.97596721	0.9534372	0.99482645	0.998941222	0.938770132	0.060229868	5.88e-05	-0.000117596	0.97647249	0.95950671	0.99732242	0.97772756	0.9573245	0.99724362	0.97849501	0.9576133	1.00010728	0.9878628	0.9749018	0.9989722	0.9885914	0.9766146	0.9997934
10	0	pos	1.00669698	0.99492772	1.0236919	1.00352846	0.99234784	1.02110868	1.000046726	0.938770132	0.060229868	5.88e-05	0.000987908	1.00279911	0.99291016	1.01589915	1.00865425	0.99799699	1.02301126	1.00697257	0.99667295	1.02161556	0.9967101	0.9911347	1.0042727	1.0001006	0.99239	1.0081397
