vg1_avg	vg2_avg	vg3_avg	vg4_avg	vg1_CI95l	vg1_CI95r	vg2_CI95l	vg2_CI95r	vg3_CI95l	vg3_CI95r	vg4_CI95l	vg4_CI95r	nloci	trait
0.066805516	0.130442766	0.013138362	0.134797093	0.052010631	0.08869002	0.095441378	0.168560682	0.009612977	0.016977647	0.105835904	0.162135446	8	SkinPigmentation
0.381639484	0.03128892	0.00315146	0.025601725	0.380324755	0.383261924	0.031032688	0.03156031	0.003125652	0.003178795	0.021619583	0.030296311	8893	Height
0.032066946	0.002204468	0.000222037	-0.000218455	0.03065685	0.033309232	0.002057442	0.002343412	0.000207228	0.000236031	-0.000346539	-4.01E-05	179	BMI
0.044009416	0.002606031	0.000262483	-0.000432622	0.042618344	0.045247187	0.002433632	0.002768818	0.000245119	0.000278879	-0.000522524	-0.000296941	295	BirthWeight
0.032976671	0.002043482	0.000205822	-0.000355746	0.032229136	0.033778175	0.001961097	0.002123084	0.000197524	0.00021384	-0.000403086	-0.00024905	427	SBP
0.036081629	0.00253313	0.00025514	-0.000502358	0.035372049	0.036758904	0.002462187	0.002617188	0.000247995	0.000263607	-0.000522354	-0.00046902	453	DBP
0.027273473	0.001954379	0.000196848	0.000403595	0.026722761	0.027793593	0.001829941	0.002130886	0.000184314	0.000214626	0.000173659	0.000673424	380	PP
0.115006336	0.007635266	0.000769034	0.009081649	0.112050421	0.118912375	0.00731366	0.008023984	0.000736641	0.000808186	0.007796139	0.010283254	382	HDL
0.16617911	0.007351257	0.000740428	0.007216891	0.162526006	0.170756966	0.006830156	0.007862495	0.000687942	0.000791921	0.005623459	0.008396261	422	LDL
0.099893965	0.003892701	0.000392078	0.000233554	0.097535507	0.102176586	0.003784145	0.004013199	0.000381144	0.000404214	-5.40E-05	0.000595427	383	TG
0.14875192	0.007815005	0.000787137	0.000736273	0.145191408	0.152532986	0.007331298	0.008365171	0.000738418	0.000842551	-1.78E-05	0.001543029	468	TC
0.13571942	0.012564001	0.001265462	-0.000570725	0.127595993	0.145890952	0.010566899	0.014990284	0.001064312	0.001509841	-0.001076348	-6.29E-06	452	RBC
0.0752824	0.005407542	0.000544655	0.00076473	0.073074616	0.077520617	0.005045754	0.00571393	0.000508215	0.000575514	0.000279809	0.001273008	366	HGB
0.036603387	0.001886223	0.000189983	-0.000371073	0.03503496	0.03805562	0.001717082	0.002064935	0.000172947	0.000207983	-0.000406082	-0.000323896	142	BAS
0.068226457	0.003980723	0.000400943	-0.000719432	0.066930491	0.069564031	0.003804294	0.0041707	0.000383173	0.000420078	-0.000806019	-0.000584368	356	HCT
0.185417695	0.016961786	0.001708413	0.007942874	0.18164159	0.189083347	0.01625731	0.017629602	0.001637457	0.001775676	0.006463973	0.009423813	380	MCH
0.231832892	0.018817922	0.001895365	-0.003144105	0.210583846	0.255759688	0.015880489	0.021992636	0.001599503	0.002215126	-0.003587072	-0.002749353	434	MCV
0.075336112	0.007498776	0.000755286	8.96E-05	0.070774807	0.079172617	0.006843773	0.008135229	0.000689314	0.000819391	-0.000158047	0.00041192	164	MCHC
0.118074423	0.009325257	0.000939252	-0.001753559	0.115814007	0.121264678	0.008759474	0.009930967	0.000882265	0.00100026	-0.001857017	-0.00161985	336	RDW
0.090634288	0.181777067	0.018308818	-0.017670417	0.088592888	0.092634525	0.165455128	0.200443792	0.016664852	0.020188955	-0.019525164	-0.015820108	409	WBC
0.104087359	0.268540284	0.02704772	-0.024601656	0.094600873	0.114075536	0.245059664	0.28938949	0.024682722	0.029147679	-0.027256593	-0.02172576	321	NEU
0.094862061	0.006739963	0.000678858	-0.001020808	0.093124208	0.097364901	0.006479313	0.006986739	0.000652605	0.000703713	-0.001247891	-0.000760633	421	LYM
0.113014685	0.043109634	0.004342057	-0.000888936	0.111511429	0.114644658	0.03575946	0.053304398	0.003601738	0.005368887	-0.001832725	9.39E-05	360	MON
0.09934358	0.005288019	0.000532616	-0.000905054	0.09714834	0.101877137	0.005151176	0.005428192	0.000518833	0.000546734	-0.001002964	-0.000794034	338	EOS
0.165893159	0.008393588	0.000845413	-0.001595588	0.159854663	0.172846257	0.008163329	0.008685637	0.000822221	0.000874828	-0.001698555	-0.001443999	532	PLT
0.236570283	0.010752931	0.001083049	-0.002023505	0.223190391	0.253629882	0.010221583	0.011418072	0.001029531	0.001150043	-0.002139718	-0.001914653	390	MPV
